Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
73_AT002,73,AT002,4.2,324.0,25.78,146,162,3.1,156.0,6.13,4.77
74_AT003,74,AT003,,289.0,22.1,147,172,3.2,,2.22,
75_AT002,75,AT002,3.36,263.0,21.33,141,159,2.9,156.0,6.35,4.92
76_AT002,76,AT002,3.0,,1080.0,0,0,,,,
77_AT003,77,AT003,,295.0,21.85,152,185,3.4,,,
78_AT001,78,AT001,2.75,199.0,15.55,141,152,2.6,169.0,5.65,4.13
79_AT001,79,AT001,2.54,220.0,15.63,152,160,3.0,163.0,6.15,4.55
80_AT003,80,AT003,,155.0,13.1,135,160,2.3,,,
81_AT005,81,AT005,0.0,286.0,26.6,133,151,2.4,,,
82_AT001,82,AT001,2.18,160.0,13.78,133,150,2.2,162.0,6.32,5.15
83_AT003,83,AT003,,243.0,18.77,144,168,2.9,,2.35,
84_AT001,84,AT001,1.68,115.0,11.08,125,139,1.7,156.0,6.58,5.33
85_AT002,85,AT002,11.66,920.0,66.05,153,174,4.5,162.0,5.67,4.52
86_AT001,86,AT001,8.43,633.0,45.72,152,180,4.1,162.0,5.43,3.93
87_AT001,87,AT001,5.64,450.0,34.02,145,164,3.2,159.0,6.03,4.32
88_AT002,88,AT002,9.9,761.0,52.62,158,177,4.4,164.0,5.32,3.97
89_AT002,89,AT002,7.13,595.0,45.05,150,171,3.8,148.0,6.32,4.15
90_AT002,90,AT002,8.54,683.0,48.13,158,177,4.3,163.0,5.63,3.22
91_AT001,91,AT001,5.57,403.0,30.0,151,168,3.5,171.0,5.38,4.3
92_AT002,92,AT002,5.05,378.0,29.65,143,163,3.1,154.0,5.87,2.82
93_AT002,93,AT002,6.93,545.0,40.37,147,164,3.5,161.0,5.83,4.93
94_AT002,94,AT002,7.22,588.0,45.53,144,166,3.8,149.0,6.32,4.03
95_AT002,95,AT002,6.01,492.0,40.05,140,160,3.3,152.0,6.67,4.43
96_AT002,96,AT002,6.82,545.0,38.22,157,185,4.0,164.0,5.6,3.88
97_AT002,97,AT002,6.66,512.0,39.18,143,167,3.4,162.0,5.88,4.88
98_AT001,98,AT001,9.05,721.0,55.52,146,164,3.8,164.0,6.13,5.23
99_AT002,99,AT002,5.91,483.0,36.87,149,172,3.4,154.0,6.23,3.73
100_AT002,100,AT002,7.95,627.0,47.93,143,160,3.8,157.0,6.03,4.08
101_AT005,101,AT005,0.0,688.0,56.08,150,175,3.9,,,
102_AT002,102,AT002,5.11,385.0,28.07,149,165,3.3,168.0,5.48,4.87
103_AT001,103,AT001,4.25,371.0,41.45,126,159,2.9,120.0,9.75,5.45
104_AT003,104,AT003,,185.0,14.53,141,155,2.5,,,
105_AT001,105,AT001,1.89,134.0,12.85,125,140,1.7,157.0,6.8,5.87
106_AT005,106,AT005,0.0,651.0,63.82,135,171,3.3,,,
107_AT005,107,AT005,0.0,210.0,18.07,136,163,2.2,,,
108_AT006,108,AT006,0.0,294.0,23.67,142,172,2.9,27.0,,
109_AT002,109,AT002,12.76,990.0,80.0,144,162,4.0,155.0,6.27,3.87
110_AT005,110,AT005,0.0,203.0,16.55,142,164,2.4,,,
111_AT002,111,AT002,5.99,479.0,36.05,148,172,3.5,156.0,6.02,2.87
112_AT005,112,AT005,0.0,241.0,21.07,137,162,2.4,,,
113_AT002,113,AT002,8.98,684.0,50.0,149,181,4.2,161.0,5.57,3.95
114_AT002,114,AT002,5.87,447.0,31.17,157,182,3.8,167.0,5.32,4.12
115_AT002,115,AT002,6.46,504.0,38.35,149,170,3.6,161.0,5.93,3.12
116_AT005,116,AT005,0.0,240.0,19.45,143,167,2.7,,,
117_AT002,117,AT002,5.69,451.0,33.43,156,183,3.6,157.0,5.88,3.18
118_AT002,118,AT002,8.04,671.0,49.68,153,173,4.0,158.0,6.18,4.9
119_AT005,119,AT005,0.0,187.0,15.9,137,168,2.4,,,
120_AT001,120,AT001,5.85,433.0,35.0,142,163,3.4,164.0,5.98,5.25
121_AT002,121,AT002,3.43,288.0,22.37,151,174,3.2,137.0,6.52,2.42
122_AT002,122,AT002,4.8,392.0,30.03,143,158,3.4,159.0,6.25,4.75
123_AT002,123,AT002,1.62,113.0,9.0,137,149,2.3,158.0,5.55,4.42
124_AT005,124,AT005,0.0,241.0,19.52,144,167,2.8,,,
125_AT003,125,AT003,,292.0,24.62,139,175,3.1,,,
126_AT002,126,AT002,6.01,492.0,35.17,160,180,4.1,161.0,5.85,4.65
127_AT005,127,AT005,0.0,212.0,16.07,150,171,2.9,,,
128_AT003,128,AT003,,233.0,18.83,143,173,3.0,,,
129_AT005,129,AT005,0.0,184.0,15.92,137,158,2.4,,,
130_AT001,130,AT001,4.64,401.0,32.0,147,164,3.5,154.0,6.9,5.78
131_AT005,131,AT005,0.0,62.0,4.82,142,159,1.6,,,
132_AT003,132,AT003,,303.0,24.65,142,166,3.0,,,
133_AT002,133,AT002,5.19,476.0,34.38,155,175,4.0,158.0,6.62,4.62
134_AT001,134,AT001,5.01,431.0,43.12,135,165,3.3,134.0,8.6,3.42
135_AT003,135,AT003,,262.0,25.77,128,155,2.3,,,
136_AT001,136,AT001,4.03,383.0,34.63,138,157,3.1,132.0,8.6,6.08
137_AT001,137,AT001,4.8,388.0,33.48,139,161,3.2,152.0,6.98,5.92
138_AT002,138,AT002,5.1,434.0,35.33,145,166,3.5,151.0,6.93,5.2
139_AT001,139,AT001,4.89,410.0,35.55,141,161,3.3,149.0,7.27,5.87
