Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
326_AT006,326,AT006,0.0,333.0,22.62,153,172,3.3,94.0,,
327_AT003,327,AT003,,94.0,9.78,114,133,1.0,,,
328_AT002,328,AT002,5.02,442.0,26.93,166,178,4.2,161.0,5.37,3.82
329_AT002,329,AT002,5.7,489.0,31.18,160,174,4.0,164.0,5.47,4.35
330_AT001,330,AT001,1.45,133.0,11.87,125,151,2.0,119.0,8.17,5.3
331_AT002,331,AT002,6.22,528.0,34.1,159,176,4.0,164.0,5.48,4.32
332_AT002,332,AT002,5.11,391.0,26.93,150,169,3.3,164.0,5.27,4.42
333_AT006,333,AT006,0.0,309.0,20.28,155,169,3.2,100.0,,
334_AT003,334,AT003,,337.0,19.6,152,184,3.5,,1.97,
335_AT006,335,AT006,0.0,320.0,19.82,164,177,3.5,103.0,,
336_AT003,336,AT003,,162.0,11.65,146,174,2.6,,,
337_AT002,337,AT002,7.22,616.0,40.67,157,171,4.2,165.0,5.63,4.93
338_AT006,338,AT006,0.0,312.0,19.92,159,172,3.4,99.0,,
339_AT003,339,AT003,,140.0,9.92,145,164,2.3,,,
340_AT002,340,AT002,7.17,623.0,40.53,160,171,4.4,163.0,5.65,4.27
341_AT006,341,AT006,0.0,262.0,20.22,135,152,2.7,104.0,,
342_AT002,342,AT002,7.15,629.0,39.72,164,179,4.6,165.0,5.55,4.35
343_AT006,343,AT006,0.0,213.0,20.35,121,134,1.9,95.0,,
344_AT003,344,AT003,,29.0,2.93,116,129,0.3,,,
345_AT002,345,AT002,7.18,611.0,38.57,163,180,4.7,166.0,5.37,4.43
346_AT004,346,AT004,,252.0,21.28,140,158,2.9,,2.03,1.67
347_AT001,347,AT001,6.0,438.0,29.9,151,182,3.7,169.0,4.98,3.78
348_AT003,348,AT003,,284.0,20.55,145,186,3.3,,2.05,
349_AT002,349,AT002,5.09,457.0,30.8,155,169,4.0,165.0,6.05,4.85
350_AT002,350,AT002,7.21,614.0,39.23,159,181,4.6,167.0,5.43,3.58
351_AT004,351,AT004,,408.0,38.55,124,161,2.7,,1.98,1.45
352_AT001,352,AT001,5.05,381.0,30.95,135,156,3.1,148.0,6.13,4.43
353_AT002,353,AT002,8.03,679.0,40.42,168,183,5.0,166.0,5.03,3.88
354_AT004,354,AT004,,474.0,36.88,148,188,4.0,,1.88,1.47
355_AT004,355,AT004,,285.0,23.93,120,145,2.3,,1.98,1.33
356_AT008,356,AT008,8.74,,265.12,103,158,2.5,56.0,30.3,8.35
357_AT008,357,AT008,9.07,686.0,117.37,97,120,1.6,91.0,12.93,4.22
358_AT002,358,AT002,7.6,667.0,41.28,162,186,5.0,166.0,5.43,4.63
359_AT004,359,AT004,,445.0,36.68,130,157,3.0,,1.87,1.45
360_AT002,360,AT002,7.71,684.0,43.15,161,179,4.5,162.0,5.6,3.97
361_AT008,361,AT008,4.25,489.0,109.77,92,118,0.3,56.0,25.8,0.6
362_AT008,362,AT008,4.54,,193.98,102,151,1.9,36.0,42.73,6.32
363_AT004,363,AT004,,453.0,41.45,139,172,3.3,,1.93,1.27
364_AT002,364,AT002,8.07,653.0,47.22,145,162,3.6,154.0,5.85,4.47
365_AT002,365,AT002,8.22,670.0,39.9,168,183,4.9,169.0,4.85,3.52
366_AT002,366,AT002,7.52,680.0,47.1,154,180,4.0,146.0,6.27,2.55
367_AT002,367,AT002,7.36,617.0,42.15,155,173,4.0,151.0,5.72,4.48
368_AT002,368,AT002,17.92,,105.03,155,175,5.0,159.0,5.87,4.62
369_AT004,369,AT004,,288.0,23.83,113,128,1.1,,1.98,1.57
370_AT002,370,AT002,5.33,461.0,33.05,149,169,3.3,152.0,6.2,2.72
371_AT002,371,AT002,7.88,754.0,50.07,158,184,4.8,149.0,6.35,4.02
372_AT004,372,AT004,,262.0,24.93,126,138,2.1,,2.23,1.9
373_AT004,373,AT004,750.0,177.0,16.1,115,125,1.0,,2.15,1.73
374_AT002,374,AT002,7.62,621.0,44.55,150,174,3.7,157.0,5.85,4.0
375_AT002,375,AT002,4.2,382.0,30.18,141,168,3.0,128.0,7.18,2.1
376_AT002,376,AT002,7.34,622.0,41.18,154,175,4.0,155.0,5.62,4.48
377_AT004,377,AT004,700.0,168.0,14.98,119,138,1.6,,2.13,1.85
378_AT002,378,AT002,15.25,,94.4,154,173,5.0,155.0,6.18,4.75
379_AT002,379,AT002,8.15,757.0,51.0,155,181,4.3,150.0,6.25,3.1
380_AT002,380,AT002,7.15,613.0,39.77,154,181,4.1,156.0,5.57,3.5
381_AT002,381,AT002,9.33,761.0,50.0,156,177,4.3,161.0,5.35,3.93
382_AT002,382,AT002,7.41,641.0,42.07,151,179,3.9,156.0,5.68,3.68
383_AT002,383,AT002,7.19,634.0,39.83,158,172,4.0,157.0,5.53,4.62
384_AT002,384,AT002,11.62,896.0,64.55,148,177,3.9,156.0,5.55,2.55
385_AT002,385,AT002,7.86,629.0,43.87,148,165,3.7,148.0,5.58,4.03
386_AT002,386,AT002,16.56,,90.6,144,159,3.9,159.0,5.47,4.57
387_AT002,387,AT002,5.76,460.0,31.8,150,169,3.3,158.0,5.52,1.77
388_AT002,388,AT002,8.2,647.0,45.0,150,172,3.8,153.0,5.48,4.37
389_AT002,389,AT002,6.51,543.0,40.1,148,176,3.3,142.0,6.17,2.42
390_AT002,390,AT002,4.5,42.0,25.0,116,134,0.4,155.0,5.55,5.32
391_AT002,391,AT002,15.41,,85.05,151,166,4.6,157.0,5.52,4.47
392_AT002,392,AT002,5.8,480.0,33.77,150,174,3.4,152.0,5.83,2.15
393_AT002,393,AT002,8.4,655.0,50.02,145,176,3.7,148.0,5.95,3.67
394_AT002,394,AT002,7.51,639.0,45.0,152,167,3.8,149.0,6.0,3.83
395_AT002,395,AT002,17.59,,100.0,161,177,5.0,154.0,5.68,4.3
396_AT002,396,AT002,11.85,985.0,66.88,153,175,4.6,157.0,5.65,3.83
397_AT004,397,AT004,630.0,158.0,22.35,105,128,0.5,,2.53,1.27
398_AT004,398,AT004,336.0,75.0,15.47,129,153,2.2,,4.48,1.55
399_AT002,399,AT002,7.28,597.0,51.0,136,165,3.2,129.0,7.02,2.98
400_AT004,400,AT004,140.0,33.0,6.88,104,135,0.5,,3.62,1.25
401_AT002,401,AT002,6.45,525.0,40.12,141,162,3.2,156.0,6.22,4.78
402_AT002,402,AT002,15.81,,90.0,153,174,5.0,152.0,5.7,4.47
403_AT002,403,AT002,4.93,442.0,30.55,155,178,3.5,147.0,6.2,2.38
404_AT002,404,AT002,7.77,596.0,40.0,157,174,4.1,158.0,5.15,4.37
405_AT002,405,AT002,4.76,416.0,30.0,150,173,3.4,143.0,6.3,4.42
406_AT002,406,AT002,8.81,682.0,50.0,149,169,4.0,153.0,5.67,4.65
407_AT002,407,AT002,5.24,415.0,30.15,149,168,3.3,152.0,5.75,4.6
408_AT002,408,AT002,6.87,536.0,37.07,158,176,3.9,161.0,5.4,4.08
409_AT002,409,AT002,5.96,461.0,36.52,146,169,3.5,149.0,6.13,4.02
410_AT002,410,AT002,9.96,821.0,60.08,156,176,5.0,151.0,6.03,4.5
411_AT002,411,AT002,5.36,433.0,30.02,157,178,4.2,157.0,5.6,4.37
412_AT002,412,AT002,1.6,128.0,9.0,154,179,2.7,142.0,5.63,3.15
413_AT002,413,AT002,5.0,391.0,28.17,157,177,4.0,150.0,5.63,3.63
