Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-11-14 16:35:44,false,"Birmingham - Base","7.48","607","00:45:53","146","158","3.5","164","174","6:08","4:40","89","94","0.99","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:48.05","8","0.0","7.48","94","00:45:46","00:45:53","126","162"
Running,2023-11-11 07:21:53,false,"Base","7.11","603","00:42:40","153","175","4.2","167","182","6:00","5:05","--","--","1.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:41.05","8","0.0","7.11","--","00:42:25","00:42:40","--","--"
Running,2023-11-05 15:50:48,false,"Birmingham - Base","8.80","693","00:50:37","146","169","3.9","165","243","5:45","3:38","51","58","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:55.23","10","0.0","8.80","58","00:50:35","00:50:37","125","163"
Running,2023-11-02 13:01:30,false,"Birmingham - Base","8.82","694","00:49:01","157","175","4.2","166","178","5:34","4:50","56","74","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.69","10","0.0","8.82","74","00:48:18","00:49:01","125","169"
Running,2023-10-31 17:18:06,false,"Birmingham - Base","8.38","668","00:51:08","138","151","3.8","162","194","6:06","5:10","167","168","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:08.43","10","0.0","8.38","168","00:50:38","00:51:08","125","186"
Running,2023-10-27 17:11:49,false,"Birmingham - Base","6.20","500","00:36:08","149","170","3.6","162","173","5:49","5:10","40","38","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:30.97","7","0.0","6.20","38","00:35:51","00:36:08","124","154"
Running,2023-10-24 17:20:38,false,"Birmingham - Base","7.32","581","00:44:05","140","158","3.6","163","176","6:01","4:55","73","78","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:05.06","9","0.0","7.32","78","00:43:47","00:44:05","94","136"
Running,2023-10-21 16:16:33,false,"Birmingham - Threshold","7.63","616","00:42:08","159","183","4.4","162","182","5:31","3:32","68","78","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:07.68","13","0.0","7.63","78","00:41:10","00:42:08","102","137"
Running,2023-10-17 17:12:40,false,"Base","5.40","412","00:30:02","149","165","3.4","160","173","5:34","4:41","--","--","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.82","7","0.0","5.40","--","00:29:55","00:30:02","--","--"
Running,2023-10-10 16:01:04,false,"Base","8.63","624","00:47:54","145","158","3.4","162","182","5:33","4:33","--","--","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:31.84","9","0.0","8.63","--","00:46:39","00:47:54","--","--"
Running,2023-10-08 16:30:25,false,"Liverpool - Base","6.91","577","00:41:45","154","172","3.9","151","176","6:02","4:35","62","22","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:16.88","7","0.0","6.91","22","00:39:09","00:41:45","--","45"
Running,2023-10-03 18:17:04,false,"Birmingham - Base","6.68","484","00:33:01","149","168","3.9","168","184","4:56","3:37","33","30","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.20","8","0.0","6.68","30","00:32:58","00:33:01","97","133"
Indoor Rowing,2023-10-02 19:38:01,false,"Indoor Rowing","--","184","00:19:53","119","138","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","444","0","0","0","0:00","0.0","0:00","No","19:52.75","1","0.0","--","--","00:00:00","00:19:53","--","--"
Running,2023-09-30 08:43:47,false,"Birmingham - Base","6.43","523","00:36:00","152","168","3.8","162","174","5:36","3:45","126","123","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.37","8","0.0","6.43","123","00:35:57","00:36:00","97","209"
Indoor Rowing,2023-09-28 13:58:51,false,"Indoor Rowing","--","263","00:24:29","129","162","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","570","0","0","0","0:00","0.0","0:00","No","24:28.78","1","0.0","--","--","00:00:00","00:24:29","--","--"
Running,2023-09-26 17:02:22,false,"Birmingham - Base","9.61","762","00:54:01","151","171","4.2","167","249","5:37","3:43","57","58","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.10","11","0.0","9.61","58","00:53:48","00:54:01","125","158"
Running,2023-09-22 16:46:48,false,"Birmingham - Base","5.94","489","00:33:03","156","172","3.9","166","176","5:34","4:33","42","35","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.73","7","0.0","5.94","35","00:33:01","00:33:03","98","133"
Running,2023-09-19 17:03:43,false,"Birmingham - Base","5.91","465","00:30:03","164","180","4.3","163","178","5:05","3:48","61","41","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.36","7","0.0","5.91","41","00:29:22","00:30:03","98","135"
Running,2023-09-15 17:11:11,false,"Birmingham - Base","8.73","678","00:48:04","149","173","4.2","164","176","5:30","4:35","52","54","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.62","10","0.0","8.73","54","00:48:02","00:48:04","102","143"
Pool Swimming,2023-09-14 16:03:40,false,"Pool Swimming","1,000","241","00:23:11","125","152","2.4","--","--","2:19","1:51","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","603","50","26","0","0:00","0.0","0:00","No","23:11.33","1","0.0","1,000","--","00:23:11","00:23:25","--","--"
Running,2023-09-12 15:19:39,false,"Birmingham - Base","8.89","710","00:50:01","149","170","4.5","164","241","5:38","4:23","50","49","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.57","10","0.0","8.89","49","00:49:58","00:50:01","92","135"
Running,2023-09-10 06:51:22,false,"Birmingham - Base","8.55","619","00:50:03","138","164","3.4","163","173","5:51","4:41","73","76","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.44","10","0.0","8.55","76","00:49:56","00:50:03","126","173"
Running,2023-09-07 06:46:30,false,"East Devon - Base","6.71","628","00:48:46","149","172","3.5","145","249","7:16","4:12","326","328","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:01.09","8","0.0","6.71","328","00:47:08","00:48:46","5","174"
Pool Swimming,2023-09-06 17:31:21,false,"Pool Swimming","650","149","00:27:24","123","145","2.0","--","--","4:06","1:10","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","800","92","30","0","0:00","0.0","0:00","No","27:24.38","1","0.0","650","--","00:26:38","00:27:30","--","--"
Pool Swimming,2023-09-05 16:45:15,false,"Pool Swimming","450","113","00:16:44","111","129","1.0","--","--","3:00","1:10","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","399","67","30","0","0:00","0.0","0:00","No","16:44.08","1","0.0","450","--","00:13:31","00:16:49","--","--"
Running,2023-09-05 07:26:18,false,"East Devon - Base","7.40","676","00:52:03","152","207","3.8","151","187","7:02","4:21","197","294","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.32","9","0.0","7.40","294","00:51:23","00:52:03","6","158"
Running,2023-09-03 09:37:44,false,"Bromsgrove - Base","6.30","610","00:46:51","152","172","3.6","135","238","7:26","4:35","514","552","0.99","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:51.42","7","0.0","6.30","552","00:42:46","00:46:51","194","310"
Running,2023-08-31 11:12:34,false,"Birmingham - Base","4.19","343","00:24:37","148","159","3.3","165","174","5:53","4:47","13","29","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:56.70","5","0.0","4.19","29","00:24:35","00:24:37","126","156"
Running,2023-08-29 12:09:07,false,"Birmingham - Base","5.36","413","00:30:02","145","167","3.5","161","246","5:36","3:53","46","43","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.62","7","0.0","5.36","43","00:29:52","00:30:02","100","135"
Running,2023-08-22 16:58:59,false,"Birmingham - Base","7.86","640","00:43:56","159","176","4.5","166","178","5:35","4:33","235","70","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:56.06","9","0.0","7.86","70","00:43:41","00:43:56","-38","143"
Running,2023-08-17 10:15:45,false,"Birmingham - Base","7.03","565","00:39:02","156","179","4.2","164","174","5:33","4:12","109","116","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:47.24","8","0.0","7.03","116","00:39:00","00:39:02","102","145"
Running,2023-08-13 07:38:56,false,"Birmingham - Base","7.92","655","00:50:11","145","163","3.6","159","170","6:20","5:09","107","103","0.99","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:34.97","8","0.0","7.92","103","00:50:02","00:50:11","116","166"
Running,2023-08-10 16:46:59,false,"Birmingham Running","3.78","281","00:19:20","157","175","3.4","163","239","5:07","3:39","147","151","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","04:24.00","4","0.0","3.78","151","00:19:19","00:19:20","112","193"
Running,2023-08-06 09:24:11,false,"Bromsgrove - Base","9.03","839","00:58:56","160","182","4.7","139","239","6:32","4:06","210","223","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:09.31","10","0.0","9.03","223","00:53:35","00:58:56","204","285"
Treadmill Running,2023-08-04 19:14:43,false,"Treadmill Running","3.99","298","00:24:49","136","146","2.7","163","173","6:13","4:36","--","--","0.99","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","06:01.77","4","0.0","3.99","--","00:24:16","00:24:49","--","--"
Running,2023-08-02 12:09:59,false,"Birmingham Running","5.75","461","00:31:41","160","184","4.0","164","241","5:31","4:18","60","68","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:49.32","6","0.0","5.75","68","00:31:39","00:31:41","97","154"
Running,2023-07-30 07:14:32,false,"Sandwell Running","8.93","701","00:54:40","140","158","3.7","160","171","6:07","4:47","116","126","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:38.33","9","0.0","8.93","126","00:54:14","00:56:27","101","163"
Running,2023-07-28 07:16:19,false,"Birmingham Running","4.87","397","00:28:10","150","170","3.5","165","176","5:47","4:25","200","245","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","04:41.24","5","0.0","4.87","245","00:28:04","00:28:10","100","221"
Running,2023-07-26 06:48:02,false,"Base","3.86","315","00:23:18","146","163","3.1","161","173","6:02","5:17","--","--","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:25.02","4","0.0","3.86","--","00:23:01","00:23:18","--","--"
Running,2023-07-12 09:17:41,false,"Birmingham Running","3.79","316","00:22:48","147","169","3.2","161","171","6:01","4:47","55","70","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","04:28.48","4","0.0","3.79","70","00:22:40","00:22:48","114","163"
Running,2023-07-09 09:27:58,false,"Birmingham - Base","6.02","492","00:33:42","157","182","4.1","162","176","5:36","4:18","151","155","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:10.66","8","0.0","6.02","155","00:33:40","00:33:42","98","177"
Indoor Rowing,2023-06-26 07:02:06,false,"Indoor Rowing","--","193","00:12:54","162","172","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","301","0","0","0","0:00","0.0","0:00","No","12:54.32","1","0.0","--","--","00:00:00","00:12:54","--","--"
Running,2023-06-23 06:52:27,false,"Birmingham - Tempo Run","4.59","341","00:24:16","149","173","3.4","161","197","5:17","3:17","118","85","1.17","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.82","11","0.0","4.59","85","00:24:03","00:24:19","102","167"
Running,2023-06-21 07:03:47,false,"Birmingham - Tempo Run","4.53","347","00:25:05","152","176","3.4","160","180","5:32","3:43","48","53","1.13","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.88","9","0.0","4.53","53","00:25:01","00:25:05","102","135"
Running,2023-06-19 07:38:25,false,"Birmingham - Benchmark Run","4.38","344","00:23:13","159","172","3.5","164","176","5:18","3:18","55","53","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:58.50","7","0.0","4.38","53","00:23:11","00:23:33","104","147"
Running,2023-06-16 07:12:03,false,"Birmingham Running","5.01","399","00:28:11","157","176","3.6","162","169","5:37","4:54","52","52","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:04.03","6","0.0","5.01","52","00:28:05","00:28:11","100","140"
Indoor Rowing,2023-06-14 07:14:44,false,"Indoor Rowing","--","300","00:21:52","151","179","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","505","0","0","0","0:00","0.0","0:00","No","21:52.14","1","0.0","--","--","00:00:00","00:21:52","--","--"
Running,2023-06-12 07:09:10,false,"Birmingham Running","5.25","410","00:28:59","150","168","3.7","166","176","5:31","4:39","48","51","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:19.11","6","0.0","5.25","51","00:28:50","00:28:59","98","133"
Running,2023-06-09 07:23:46,false,"Birmingham Running","4.51","358","00:24:54","152","174","3.5","167","176","5:31","4:50","98","106","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:38.46","5","0.0","4.51","106","00:24:52","00:24:54","100","148"
Indoor Rowing,2023-06-07 07:21:46,false,"Indoor Rowing","--","308","00:21:50","156","182","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","21:49.100","1","0.0","--","--","00:00:00","00:21:50","--","--"
Running,2023-06-05 07:01:07,false,"Birmingham Running","4.08","317","00:23:15","149","166","3.3","166","175","5:42","4:48","29","35","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:53.00","5","0.0","4.08","35","00:23:15","00:23:15","103","133"
Cardio,2023-06-03 15:17:15,false,"Cardio","0.00","219","00:19:39","132","151","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","19:39.39","1","0.0","0.00","--","00:00:00","00:19:39","--","--"
Indoor Rowing,2023-06-03 14:51:16,false,"Indoor Rowing","--","326","00:25:39","143","162","3.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","595","0","0","0","0:00","0.0","0:00","No","25:39.35","1","0.0","--","--","00:00:00","00:25:39","--","--"
Running,2023-06-02 17:32:04,false,"Birmingham Running","4.20","324","00:25:47","146","162","3.1","156","224","6:08","4:46","23","24","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:31.64","5","0.0","4.20","24","00:25:40","00:25:47","108","136"
Indoor Rowing,2023-05-30 16:38:37,false,"Indoor Rowing","5,000","289","00:22:06","147","172","3.2","--","--","2:13","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","524","0","0","0","0:00","0.0","0:00","No","22:05.75","1","0.0","5,000","--","00:00:00","00:22:06","--","--"
Running,2023-05-28 16:08:29,false,"Birmingham Running","3.36","263","00:21:20","141","159","2.9","156","173","6:21","4:55","61","42","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:03.22","4","0.0","3.36","42","00:20:41","00:21:20","128","163"
Running,2023-05-26 18:01:37,false,"Running","3.00","11,520","18:00:00","0","0","--","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","18:00:00.00","1","0.0","3.00","--","00:00:00","18:00:00","--","--"
Indoor Rowing,2023-05-25 16:28:19,false,"Indoor Rowing","--","295","00:21:51","152","185","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","531","0","0","0","0:00","0.0","0:00","No","21:50.99","1","0.0","--","--","00:00:00","00:21:51","--","--"
Treadmill Running,2023-05-24 16:10:41,false,"Treadmill Running","2.75","199","00:15:33","141","152","2.6","169","204","5:39","4:08","--","--","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","04:12.69","3","0.0","2.75","--","00:15:33","00:15:33","--","--"
Treadmill Running,2023-05-23 17:18:55,false,"Treadmill Running","2.54","220","00:15:38","152","160","3.0","163","210","6:09","4:33","--","--","1.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:13.32","3","0.0","2.54","--","00:15:33","00:15:38","--","--"
Indoor Rowing,2023-05-23 17:05:25,false,"Indoor Rowing","--","155","00:13:06","135","160","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","291","0","0","0","0:00","0.0","0:00","No","13:06.24","1","0.0","--","--","00:00:00","00:13:06","--","--"
Cardio,2023-05-16 17:56:39,false,"Cardio","0.00","286","00:26:36","133","151","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","26:36.07","1","0.0","0.00","--","00:00:00","00:26:36","--","--"
Treadmill Running,2023-05-16 17:41:11,false,"Treadmill Running","2.18","160","00:13:47","133","150","2.2","162","171","6:19","5:09","--","--","0.98","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:09.91","3","0.0","2.18","--","00:13:40","00:13:47","--","--"
Indoor Rowing,2023-05-11 15:52:16,false,"Indoor Rowing","4,000","243","00:18:46","144","168","2.9","--","--","2:21","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","453","0","0","0","0:00","0.0","0:00","No","18:46.44","1","0.0","4,000","--","00:00:00","00:18:46","--","--"
